AMD 69345C
AXP 4C37C5
T 251988
BA 55438C
MMM 03B8CF
GOOG 4A6F00
APTV 7ACDA3
BBY 5E7E82
CPB 543900
CMG A63820
CEG HTA3J9
DXCM B840EF
EA DB06B0
EXR 4FB770
FCX D4463B
HCA 34B97A
IDXX B7EB38
JNJ A6828A
LVS C9B932
MA 55C9B5
MPWR 6ABCB8
NCLH 56CC0A
PAYX 6F6559
PTC D437C3
ROST 8C6C1B
STT 5BC2F4
TPL 18311E
UNH 205AD5
WBD ADF092
BP 2D469F
HUBS 4458AA
HUT 8FMM4U
CRDO 8VCHP2
SM 6A3C35
JBLU D17C1B
RACE DD394F
ADNT F88FA9
BJ 1C2593
BOOT 51B442
HELE CE03DF
TXRH 5088A5
CFR 0ED415
MKL F0B2B5
ARES 32E873
EEFT E00373
CHE EBC84C
HALO 8DCF18
OMCL 94563D
PEGA 31AA84
CWAN D8VMYI
SATS 9652E4
WTS F32F88
HUN 8FCA78
KGC 9C114A
CMC EB7FBF
ACHR B79152
HTLD 2EBC0B
BKH 7437E6
HESM 10F467
AFL AD3C93
AMT A80FE0
ABBV 665D7D
AMCR DF8855
ANET 3DC887
BLK HJ95FV
ADBE C9881C
AEP D9B1C9
AIZ DD682D
BK EF5BED
A ED79D9
AWK 6DBBBC
AES 9C8BC3
AIG 0BC29E
ATO B2E6B5
ACN 91B8B1
AEE 789A7D
AJG AADE0B
